lon,lat,mag,time_string,depth,catalog_id,event_id
10.51,44.871,5.0,2012-01-25T08:06:37.090000,29.0,,2479469
11.2635,44.8955,5.9,2012-05-20T02:03:50.170000,9.5,,772691
11.2703,44.8737,5.0,2012-05-20T02:07:28.950000,6.1,,773011
11.152,44.8597,5.0,2012-05-20T03:02:47.090000,9.1,,774071
11.4407,44.8135,5.1,2012-05-20T13:18:01.770000,3.4,,783491
11.0657,44.8417,5.8,2012-05-29T07:00:02.880000,8.1,,841091
10.9475,44.8647,5.0,2012-05-29T08:25:51.480000,7.9,,844031
10.9795,44.8652,5.3,2012-05-29T10:55:56.550000,4.4,,847781
10.941,44.8558,5.0,2012-05-29T11:00:01.680000,8.7,,847921
10.9763,44.866,5.1,2012-05-29T11:00:22.990000,7.2,,847911
10.9502,44.886,5.1,2012-06-03T19:20:43.390000,8.7,,908231
16.0158,39.8747,5.0,2012-10-25T23:05:24.730000,9.7,,1436611
10.1357,44.1308,5.2,2013-06-21T10:33:56.980000,7.0,,2151711
14.4342,41.3952,5.0,2013-12-29T17:08:43.230000,20.4,,2874261
13.2335,42.6983,6.0,2016-08-24T01:36:32,8.1,,7073641
13.1507,42.7922,5.4,2016-08-24T02:33:28.890000,8.0,,7076161
13.1243,42.8747,5.4,2016-10-26T17:10:36.980000,8.1,,8663031
13.0902,42.9048,5.8,2016-10-26T19:18:07.420000,9.6,,8669321
13.1092,42.8303,6.1,2016-10-30T06:40:17.320000,10.0,,8863681
13.2768,42.545,5.4,2017-01-18T09:25:40.390000,10.0,,12695491
13.2838,42.531,5.4,2017-01-18T10:14:09.900000,9.6,,12697591
13.277,42.5033,5.3,2017-01-18T10:25:23.730000,9.4,,12698071
13.2747,42.4733,5.1,2017-01-18T13:33:36.740000,9.5,,12707401
14.8648,41.8742,5.2,2018-08-16T18:19:04.600000,19.6,,20375681
